x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826486,43133.24935924902,0.0,0.0,0.0,-0.5611837933305185,0.8276912166401006,2.980789406412168
89669.8833836864,43133.106214426574,0.0,0.0,0.0,-0.8634324867047871,0.5044644099466161,2.980789406412168
89668.39737737601,43130.71421251311,0.0,0.0,0.0,-0.8656338811470847,0.5006775247704203,11.959960264400497
89666.87822552053,43127.88226399655,0.0,0.0,0.0,-0.866432227392182,0.499294697885149,16.396545810214217
89665.44196059383,43125.61447727013,0.0,0.0,0.0,-0.8666019152569375,0.4990001207144219,13.62468303354545
89664.37541037066,43123.57027853803,0.0,0.0,0.0,-0.8683274209515635,0.4959914213205772,10.68433981978272
89663.70332410355,43122.66635452581,0.0,0.0,0.0,-0.9485761236155288,0.3165491078909196,8.901499605456463
89661.32448097473,43121.278850218696,0.0,0.0,0.0,-0.962129744797004,0.2725919187665911,16.49284950659921
89658.05478867696,43119.18630594059,0.0,0.0,0.0,-0.960344362182148,0.2788166171966136,14.778355017385616
89655.51480046971,43117.594875677205,0.0,0.0,0.0,-0.9679791171316808,0.2510307327738411,11.201852345901994
89653.06217937499,43116.82504265626,0.0,0.0,0.0,-0.9999957319340192,0.0029216628390592,9.030278388248243
89649.88961421874,43117.27826625001,0.0,0.0,0.0,0.9919352157254994,0.1267459182917031,18.68028570841329
89645.810601875,43118.94008609376,0.0,0.0,0.0,0.98452060184434,0.1752688921173943,22.52739469633808
89641.0474501621,43121.188875929154,0.0,0.0,0.0,0.9815687661863084,0.1911092809035925,18.05828600611134
89638.68207722215,43122.21279718054,0.0,0.0,0.0,0.97115769718891,0.238438099285188,15.69075553077329
89635.28011146834,43124.20252572645,0.0,0.0,0.0,0.9523453088285176,0.3050219873260211,19.008746804864558
89632.69193766384,43126.48851578403,0.0,0.0,0.0,0.9024001517810504,0.4308990207293783,18.062837428292102
89629.41526007983,43131.457758085,0.0,0.0,0.0,0.8829846574248348,0.4694018478365281,28.32756314013665
89626.08333591236,43136.28283425603,0.0,0.0,0.0,0.8860053031546206,0.4636751047682945,32.45558997994039
89622.67105354693,43141.179137135725,0.0,0.0,0.0,0.8861073595896811,0.4634800397870479,29.467884335248318
89619.27503678948,43146.08737872732,0.0,0.0,0.0,0.88386643169224,0.4677393835541613,26.14059485782712
