x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,3.0
89669.13615230467,43132.03329970008,0.0,0.0,0.0,-0.8609286919552804,0.5086736992412982,3.0
89668.44595634445,43130.81724015114,0.0,0.0,0.0,-0.8576798791529988,0.5141603157082134,3.0
89667.82477998026,43129.67020019822,0.0,0.0,0.0,-0.8626036179543729,0.5055647631117549,3.0
89667.23318344294,43128.55274007218,0.0,0.0,0.0,-0.8710298788715993,0.490933995202422,3.0
89666.6284403159,43127.487866305,0.0,0.0,0.0,-0.8747363807311198,0.4845617756510719,3.0
89666.00397730428,43126.50187207612,0.0,0.0,0.0,-0.8713632440040815,0.4905773786366958,3.0
89665.36636770294,43125.48629802038,0.0,0.0,0.0,-0.8725640874568834,0.4857047118493459,3.0
89664.61043879413,43124.20450552285,0.0,0.0,0.0,-0.9149307525282492,0.3828376171052298,3.0
89663.85450988534,43122.92271302533,0.0,0.0,0.0,-0.9572974175996152,0.2799705223611136,3.0
89662.70418328498,43122.08790457822,0.0,0.0,0.0,-0.9633324228524726,0.2680294309481476,3.0
89661.45525726174,43121.36484214372,0.0,0.0,0.0,-0.9602845131507028,0.278819840367969,3.0
89660.1734647642,43120.576046760616,0.0,0.0,0.0,-0.9613152661335946,0.2748317631908292,3.0
89658.85880579236,43119.72151842893,0.0,0.0,0.0,-0.9664246818011478,0.2560651994167279,3.0
89657.47184057707,43118.86041680239,0.0,0.0,0.0,-0.7995643951733231,0.2284329883572414,3.0
89655.79565038798,43117.9730219964,0.0,0.0,0.0,0.0551747006360222,0.1653381881562136,3.0
89654.1194601989,43117.08562719042,0.0,0.0,0.0,0.909913796445366,0.102243387955186,3.0
89652.64622935763,43117.25091294471,0.0,0.0,0.0,0.992058478652553,0.1215735403187727,3.391304347826086
89651.195549555,43117.53316320571,0.0,0.0,0.0,0.9883593371261656,0.1500620207450945,3.8260869565217384
89649.68289410851,43117.9595370816,0.0,0.0,0.0,0.9858255533658776,0.167459702917282,7.30434782608695
89648.12892156611,43118.4819933674,0.0,0.0,0.0,0.9840686747829892,0.1774635195867133,12.81159420289854
89646.70393997716,43118.97891090758,0.0,0.0,0.0,0.982838859774962,0.1844661912553423,16.666666666666668
89645.57993727962,43119.4162380413,0.0,0.0,0.0,0.9828388597749452,0.1844661912554323,16.666666666666668
89644.45593458207,43119.85356517503,0.0,0.0,0.0,0.9828388597749282,0.1844661912555224,16.666666666666668
89643.4245531602,43120.254855209285,0.0,0.0,0.0,0.9816544326223872,0.1905382389260698,16.666666666666668
89642.39317173834,43120.65614524354,0.0,0.0,0.0,0.9804700054698464,0.1966102865966171,16.666666666666668
89641.04846337145,43121.21365636195,0.0,0.0,0.0,0.9746624345735818,0.2209266569883499,16.666666666666668
89639.56947202815,43121.83811937357,0.0,0.0,0.0,0.9668735163585788,0.2530620228320193,16.666666666666668
89638.34026588948,43122.42314261603,0.0,0.0,0.0,0.9627924418060656,0.2701984398517236,16.666666666666668
89637.48573755778,43122.94900620476,0.0,0.0,0.0,0.9642731327472877,0.2648364336354802,16.666666666666668
89636.61477598894,43123.48144308836,0.0,0.0,0.0,0.9637318352393696,0.2654877172196266,16.666666666666668
89635.59591528577,43124.07303962568,0.0,0.0,0.0,0.9449926416891902,0.3202586090072819,16.666666666666668
89634.57705458261,43124.664636163,0.0,0.0,0.0,0.9262534481390108,0.3750295007949372,16.666666666666668
89633.78846686696,43125.3761938404,0.0,0.0,0.0,0.9079836067506646,0.4164493480366483,16.666666666666668
89633.0574473982,43126.11774180282,0.0,0.0,0.0,0.8898311034027767,0.4545314341418733,16.666666666666668
89632.2244376958,43127.19571287721,0.0,0.0,0.0,0.880754851728804,0.4735724771945395,16.666666666666668
89631.28943775975,43128.61010706356,0.0,0.0,0.0,0.8807548517287463,0.4735724771946465,16.666666666666668
89630.34781912302,43130.0345134985,0.0,0.0,0.0,0.8813569233634926,0.4724325599193314,16.666666666666668
89629.3797256835,43131.498968927786,0.0,0.0,0.0,0.8843672815374545,0.4667329735423273,16.666666666666668
89628.41163224397,43132.96342435707,0.0,0.0,0.0,0.8873776397114164,0.4610333871653232,16.666666666666668
89627.64233573913,43134.06438434783,0.0,0.0,0.0,0.8872471317217164,0.4612929299536322,16.666666666666668
89626.89512778261,43135.12495595652,0.0,0.0,0.0,0.8867676386027208,0.4622145982047538,16.666666666666668
89626.15097082609,43136.18765607826,0.0,0.0,0.0,0.886586770083984,0.4625623174560572,16.666666666666668
89625.40884786956,43137.25177520869,0.0,0.0,0.0,0.8866049846320866,0.4625274040408149,16.666666666666668
89624.66665771304,43138.31586744348,0.0,0.0,0.0,0.8865401239197098,0.4626515118484072,16.666666666666668
89623.92431075653,43139.37989692174,0.0,0.0,0.0,0.8862814209328814,0.4631466691759467,16.666666666666668
89623.1819638,43140.4439264,0.0,0.0,0.0,0.886022717946053,0.4636418265034863,16.666666666666668
89622.4422626261,43141.50999135652,0.0,0.0,0.0,0.88594348163585,0.4637931752480434,16.666666666666668
89621.70256145218,43142.576056313046,0.0,0.0,0.0,0.885864245325647,0.4639445239926005,16.666666666666668
89620.96346078697,43143.64250785217,0.0,0.0,0.0,0.8853002569323462,0.4650165363258221,16.666666666666668
89620.22461748261,43144.70912506957,0.0,0.0,0.0,0.8845285176462893,0.4664831187684712,16.666666666666668
89619.4890788913,43145.77791872174,0.0,0.0,0.0,0.8836599825058801,0.4681255099320274,16.666666666666668
89618.75849736956,43146.84997702609,0.0,0.0,0.0,0.8826462535839426,0.4700316141769441,16.666666666666668
89618.02901765652,43147.922705252175,0.0,0.0,0.0,0.8814295078952956,0.4723061595965553,16.666666666666668
89617.30945422174,43149.00146277392,0.0,0.0,0.0,0.8783856113062638,0.4778966755884176,16.666666666666668
89616.58989078696,43150.08022029565,0.0,0.0,0.0,0.8753417147172319,0.4834871915802798,16.666666666666668
89615.89600717826,43151.17519493043,0.0,0.0,0.0,0.8668380928907482,0.4981284595671864,16.666666666666668
89615.20854352608,43152.27422384348,0.0,0.0,0.0,0.8569695397549015,0.5150324155528542,16.666666666666668
89614.57153352609,43153.40263573478,0.0,0.0,0.0,0.8404677961661059,0.5404581323635026,16.666666666666668
89613.98497717826,43154.560430604346,0.0,0.0,0.0,0.8173328621243616,0.5744056099991315,16.666666666666668
