x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826486,43133.24935924902,0.0,0.0,0.0,-0.5611837933305185,0.8276912166401006,2.980789406412168
89669.75382608724,43133.22498822491,0.0,0.0,0.0,-0.8634324867047871,0.5044644099466161,2.980789406412168
89669.90116523106,43133.08329401748,0.0,0.0,0.0,-0.8656338811470847,0.5006775247704203,11.959960264400497
89668.30616730373,43130.57581958791,0.0,0.0,0.0,-0.866432227392182,0.499294697885149,16.396545810214217
89666.79764733448,43127.73675695412,0.0,0.0,0.0,-0.8666019152569375,0.4990001207144219,13.62468303354545
89665.34047612664,43125.446320829324,0.0,0.0,0.0,-0.8683274209515635,0.4959914213205772,10.68433981978272
89664.32419814637,43123.451424687955,0.0,0.0,0.0,-0.9485761236155288,0.3165491078909196,8.901499605456463
89663.55043458466,43122.56887140317,0.0,0.0,0.0,-0.962129744797004,0.2725919187665911,16.49284950659921
89660.94346965269,43121.047706069774,0.0,0.0,0.0,-0.960344362182148,0.2788166171966136,14.778355017385616
89657.67100717932,43118.93040764211,0.0,0.0,0.0,-0.9679791171316808,0.2510307327738411,11.201852345901994
89655.1568927266,43117.41605973223,0.0,0.0,0.0,-0.9999957319340192,0.0029216628390592,9.030278388248243
89652.67067251045,43116.831341555015,0.0,0.0,0.0,0.9919352157254994,0.1267459182917031,18.68028570841329
89650.42805723335,43117.1536784586,0.0,0.0,0.0,0.98452060184434,0.1752688921173943,22.52739469633808
89646.42203510308,43118.434559621855,0.0,0.0,0.0,0.9815687661863084,0.1911092809035925,18.05828600611134
89640.2495442134,43121.56960242252,0.0,0.0,0.0,0.97115769718891,0.238438099285188,15.69075553077329
89638.06199652173,43122.54404983703,0.0,0.0,0.0,0.9523453088285176,0.3050219873260211,19.00874680486456
89634.58511312852,43124.64847700015,0.0,0.0,0.0,0.9024001517810504,0.4308990207293783,18.062837428292102
89631.9507472779,43127.53753733446,0.0,0.0,0.0,0.8829846574248348,0.4694018478365281,28.32756314013665
89628.51295244657,43132.8088250833,0.0,0.0,0.0,0.8860053031546206,0.4636751047682945,32.45558997994039
